layer,n_pairs,mean_delta_mlp,mean_delta_attn_total,mean_delta_head_0,head_0_ci_low,head_0_ci_high,mean_delta_head_1,head_1_ci_low,head_1_ci_high,mean_delta_head_2,head_2_ci_low,head_2_ci_high,mean_delta_head_3,head_3_ci_low,head_3_ci_high,mean_delta_head_4,head_4_ci_low,head_4_ci_high,mean_delta_head_5,head_5_ci_low,head_5_ci_high,mean_delta_head_6,head_6_ci_low,head_6_ci_high,mean_delta_head_7,head_7_ci_low,head_7_ci_high
0,120,-0.007112419977784157,-0.018790333500752845,-0.0003589886783932646,-0.0007948971473767111,0.0003696462209336458,-0.0005197246947015326,-0.0015920658054528758,0.00037490941079643857,-0.004058204249789318,-0.013856996511264395,0.004494826838684576,-0.01187847323405246,-0.02107980569009669,-0.0060760194292136804,-0.0006371338541309039,-0.0013414276690067103,0.0005644554741835842,-0.0020405982931454977,-0.007248779492607961,0.002499562124721704,-0.0018559523082027833,-0.0032737595141710094,-0.000672861160710454,0.0025587418116629125,0.0008569026629750929,0.004000772972746441
1,120,-0.006141438086827596,0.011452991946134717,-0.00017354087516044576,-0.001212684635829646,0.0013907482866003789,0.008477012867418428,0.005123426287706631,0.01242122473932492,-0.0010930679583301148,-0.0020349697628989816,-1.105695225608947e-05,0.001788238164347907,0.0003297596677051236,0.002794095946204227,-0.0006164721213281155,-0.0023269554196546477,0.0015155378989099178,-4.98742563650012e-05,-0.00047640411687704427,0.00048620406518845507,0.003443226769256095,-0.00022943026405603933,0.006260935706474506,-0.00032253064370403687,-0.0009397134409906963,0.00019263727221793152
2,120,-0.00018504554561028878,0.004439304229648163,-0.0011427877160410085,-0.0017928849092762296,-0.0005262888226813329,0.0002430452227902909,-0.00017800668477624035,0.000595278863038402,0.008222842786926777,0.0047883151329976194,0.011620517367264254,-0.0007384650642052292,-0.003075614014135984,0.0011766865116078402,0.00033486710162833333,-0.00010922593016099804,0.0008562706903709717,0.00015924155401686829,-0.0018634351567015984,0.0020224642241373656,0.0021588739240542055,0.0005758207271962116,0.0034930159574529775,-0.004798313579522073,-0.00780446387536358,-0.002844560576292377
3,120,-0.0011036964133381844,-0.005206124957961341,-0.0029584090923890473,-0.00504078732667646,-0.0008853936979236724,-0.002176696481183171,-0.004004303635641311,-0.0007173280978652967,0.0002523855616648992,-0.0011790383288947245,0.0016521966985116401,-0.0003313192787269751,-0.0018188390252180397,0.0011800777939303443,-0.003522646753117442,-0.008337786738605548,0.0009570257284212855,-0.0038716865121386944,-0.005379128170704159,-0.002573789572876801,0.0033068703797956307,0.0019026296997132401,0.004911797480114425,0.004095377218133459,0.002531620581673148,0.0055154657733510245
4,120,-0.0010033835656940936,-0.0026258759928168727,0.0006765411371209969,-0.00013353926774774057,0.0016321987213450484,-0.0014837667850467065,-0.0027793769056249098,-0.00015257370289570456,0.0027954209120556093,0.00040319896283714726,0.005042042863666817,0.0002435210704182585,-0.0006855192689302688,0.001290250709765434,-0.00011846882989630103,-0.0005453964100646166,0.0003068973422826577,0.004730838599304358,0.003002357401807482,0.007127758745724952,-0.008179061696864665,-0.014243745583711036,-0.0016106820090014298,-0.0012909003999084234,-0.0033424701776433112,0.000165009044188384
5,120,-0.0037897246424108745,-0.0033607040085674575,0.0019529493680844705,0.00025554550695233046,0.0031350499643788983,-0.0027542708693848303,-0.00445731159595501,-0.0013228748520001938,0.0011188769324993093,-0.003100578155911838,0.004471066012241257,0.0008299167772444586,-0.0003116334873872499,0.001960064588153423,0.003512586032350858,0.0013840731109182039,0.006151948925107716,0.006421123868009696,0.005130989790777676,0.008132036004972178,-0.01751936769966657,-0.022392769307868245,-0.012538926651759548,0.0030774815822951496,-0.002506160301854834,0.006892843536916185
6,120,0.005519637434432904,-0.020275967572039613,-0.004095014929771423,-0.010743297785520554,0.004271447792028387,-0.0009730385383591056,-0.0034459358665238442,0.0018835620378376899,-0.001524161236981551,-0.00313063828041777,4.1907822402814906e-05,-0.0016431126394309103,-0.0029504953146291275,-0.0004803527029192403,-0.002259475396325191,-0.0033252085054603715,-0.0010494234777676578,-0.01041177730076015,-0.01241010292006346,-0.007854915890008368,0.012539146343866985,0.007549114443051319,0.01814242051720309,-0.011908533874278267,-0.01625342995238801,-0.007320229595837503
7,120,-0.001878988395522659,0.013990903123825168,0.004593958278807501,-0.005280692386440933,0.019009507130831476,0.011791404786830146,0.00402225964392225,0.021390827832704712,0.005949482059804723,0.0012994925145661303,0.009617015529462754,-0.006232395768165588,-0.015022152405193386,0.002828295163538613,-0.011397064073632161,-0.015037724601958567,-0.008397814211881877,0.008143053320236505,0.004988194981124252,0.010640998914022929,0.0004781260232751568,-3.5386297192114095e-05,0.0009118226830226678,0.0006643384966688852,-0.0008727790805278345,0.0025991104021280374
8,120,0.0246425403165631,-0.022498921564935395,0.005206215789075941,-0.001479547507963919,0.009818859233152273,-0.025588690089837957,-0.031487600884283894,-0.01957328541922228,0.00047991888131946323,-0.0002510899150123199,0.001290815072522188,0.03976832901438077,0.02847939474896217,0.05125501436957468,-0.047718669699194534,-0.05903064375374621,-0.035458481974977384,-0.007592284353449941,-0.01686641996668186,0.0020359720842679794,0.010077770799398422,0.007407385382878905,0.013084922849278275,0.0028684880933724346,2.1552000544034313e-06,0.005441785791384367
9,120,0.007074191949019829,0.06339597130039086,-0.001873832211519281,-0.003924801769899204,0.0003573958796914654,-0.007939785435640563,-0.015166127355478239,-0.0011582588144422904,0.055665389991675814,0.03130213045864366,0.08170560088396693,-0.050133276459140085,-0.057663195543185185,-0.04090770077911051,0.016690837995459635,0.010554750754963607,0.024169667553311833,0.005722232989501208,-0.00012662555430627734,0.012837749547034032,0.008468574044915538,0.005167677165203107,0.012701299010465543,0.03679583038513859,0.03058778966932247,0.04395679313456638
10,120,0.008554183509356031,0.030323135119397195,0.007782427039152632,9.267781667101033e-06,0.015116535531512145,0.0007760174882908662,-0.008205864713139211,0.013296026386087742,-0.010566486309592922,-0.013490258445575212,-0.007777588620083409,0.02485520427580923,0.016627441913393947,0.0346854466527778,-0.008017009946828087,-0.012390041671848545,-0.003955073897959669,0.001014880114234984,-0.0005189327967430775,0.0025568635338762144,0.0038926212582737207,0.002132189604647768,0.006300569552695378,0.010585481200056772,0.00843366933753714,0.01321455070225056
11,120,0.001012226384288321,-0.02394094894407317,0.003260974403625975,0.0009596429647839007,0.005873575990650958,0.021915729514633615,0.013403857339289971,0.02997859252034686,-0.0008848433615639805,-0.002564465364460678,0.0006001674167540227,-0.04172730709348495,-0.04638739620529426,-0.03620343352803805,-0.0423750631355991,-0.05187746229581535,-0.03141794633624765,0.021887289616279303,0.015506147270207294,0.028683351985528127,0.007920624044102927,-0.005885313947801478,0.01974963009260439,0.006061647067933033,-0.0017236213312329103,0.012701355783986701
12,120,0.022247553242292877,-0.03008322512420515,-0.005857505346648395,-0.015834644640175005,0.003675550582120187,0.018758708347255983,0.01399947379832156,0.0235668234511589,-0.04143851144860188,-0.0619817904792338,-0.02657702696839503,0.04851060325357442,0.031054540417680982,0.06245217366299281,-0.04037647113824884,-0.053159878899265704,-0.023846576147868,-0.0009705699941453834,-0.007055899616971146,0.0042880805184055725,-0.06042724306074281,-0.07254131875776997,-0.04372180696285798,0.051717764263351756,0.04613770237347732,0.057135147672767436
13,120,0.0007060390916497757,0.04927475843869615,-0.009817408564655732,-0.012324791271336531,-0.007837514680771469,-0.009470970075926743,-0.012761596711352468,-0.005873796287123698,0.05301411103767653,0.04092885911212458,0.06438628773631838,0.005680539036014428,0.0019308621032784383,0.010843859357119071,-0.008071124887404342,-0.00937089401986062,-0.006841400451182079,0.009510248344546805,0.007954952183839244,0.011358983378934982,0.03067240401481589,0.021251016449629484,0.04154714705179989,-0.02224304046637068,-0.02672733759895588,-0.01756984672606147
14,120,0.027573030986241066,0.035115724912611765,0.000536606804234907,-0.00011641606334402847,0.001103667658996225,-0.0008526086496810118,-0.0025062997862308595,0.0002501434630054658,0.011764517663201938,0.003498159729933832,0.01846337550639873,0.0006897709681652486,-0.004896123072733948,0.006474957138319339,-0.0359701340397199,-0.056044458214892075,-0.017299155881628395,0.035251434162879985,0.015207490767740335,0.06031505468340278,-0.02100826253493627,-0.03631953737155224,-0.008971348045549048,0.044704400538466874,0.03772864952683449,0.051803524616989303
15,120,0.03077625189907849,0.088806512223285,0.0009416985606852298,0.00043915184721602903,0.0015317472758276077,0.00018334262422285973,-0.0011395917842310155,0.0015239518042896322,0.10168305556289851,0.09282964165923963,0.10982673972709259,0.011410433236354342,0.008153178518405184,0.013995447821507695,-0.010155008032840366,-0.011911508738072977,-0.007869844524005506,0.020743056561332195,0.01732185580874405,0.02330152936609617,-0.10826809346520652,-0.11791211908935414,-0.09684912428395667,0.07226802717583874,0.06360697164219649,0.08133439439019031
16,120,0.027537489597064754,0.230604648902469,0.05656790577728922,0.04778156983986264,0.06434835454769199,0.11007911883449803,0.09966020788337725,0.12280043602028551,-0.004243658005725593,-0.020965548151192098,0.007064731643962044,0.001049414280957232,-0.004860890964434172,0.005888219858655549,0.002840311380956943,-0.002729646896138244,0.009683157846350994,-3.741626860573888e-05,-0.003062777817879881,0.002788825581907681,0.012471111254611363,0.007135268561639047,0.01856137776407801,0.051877861648487546,0.043479325559455904,0.06265944308135658
17,120,0.10502128588268533,-0.024478933357750067,0.00526020271742406,0.003530604665769109,0.007486611010438838,-0.0018779745742601031,-0.002529622576063654,-0.0011949371831724424,0.0009370600416635474,-0.0007232806857791729,0.002563718001377612,-0.03372486426184575,-0.043666195943757584,-0.024781187076975283,-0.0011356661135020355,-0.008119856188617026,0.0052734346006764075,0.049179270989649616,0.043967735329448865,0.05494964648523212,-0.1411940408560137,-0.15441007429578651,-0.12778243260186478,0.09807707869913429,0.08387621396997323,0.1095512406679336
18,120,0.3711929391371086,0.11159711183184602,0.10201529070618562,0.09517345002367317,0.11130508634353947,0.010267950920388102,0.008949212128257689,0.01174234093229946,0.012432489179385204,0.0073733763594646005,0.01810170703092202,-0.00536346355608354,-0.012022741849456602,0.001820624283864152,-0.0021012617246014996,-0.004682104916161431,0.0004963879907154469,0.00235682658967562,0.0013602548652367355,0.0036174435305777767,0.00392079259812211,-0.003978699593959997,0.011398819027623778,-0.011931512881225596,-0.016531211767190447,-0.007624110020406079
19,120,0.09518903769397487,0.2087350492676099,0.05200661283258038,0.013175254403953052,0.10402012158544185,0.03121563497115858,0.00708654729455399,0.05556897268863394,-0.02080786276201252,-0.029332218021251417,-0.013566106620273787,0.005170640631695278,0.004303286797609569,0.005961833386924506,-0.05140007664449513,-0.06012213390708591,-0.04306405596687304,0.03365036892549445,0.027300599894855018,0.040170366977884744,0.1453811139644434,0.1362561376755669,0.1574087859102292,0.013518617348745465,0.011931095724042582,0.014791686526004922
20,120,0.12197000613280883,0.018878684766241348,0.006177809087481971,0.004677280354711305,0.007414043403647761,-0.004371319734491408,-0.005766704496879053,-0.002963078526372556,-0.014034478894124429,-0.020014288276045893,-0.008547881378132553,0.004740502052785208,-0.005659401447046548,0.01731036415575848,-0.015478910788078792,-0.019378221037283462,-0.011520711357710146,0.022416931522699694,0.01797765795927262,0.025819236528186594,-0.0014364280893156927,-0.004526668426503117,0.001123725157716155,0.020864579609284797,0.0006375427426731524,0.049542342208733305
21,120,0.12768114843250564,0.5423733473056928,0.06741678729110087,0.023124853506548484,0.12824825772123094,0.02444803170316542,0.01699447992432397,0.032456864426688596,0.16582982066708307,0.148517344193145,0.18266910113433066,0.019316943067436417,0.016977632564376108,0.021495179973232248,0.004525381185036773,0.0008128669008632035,0.008903309364347174,-0.01570402632545059,-0.02353674605789517,-0.008405527142264578,0.305520418084537,0.27186940450492936,0.33030631091911344,-0.028980008367216214,-0.032643618106958455,-0.025520475418549425
22,120,0.13432703390717507,0.05277370839078988,-0.004768529014351468,-0.006169138358770093,-0.003433897848347746,0.018226603581570088,0.007488413268195776,0.0323556915722535,0.03525902813028855,0.01369372100084244,0.05991904611451897,-0.0026464707931154407,-0.0039255409284184375,-0.0008532678086946059,-0.0031758322826741883,-0.007198217727903587,0.0003093841536610839,0.014102615555748344,0.010318418505679196,0.016852690466912464,-0.0068349364407671,-0.010780302824083871,-0.0024604507785988983,0.0026112296540911,0.001654607659438625,0.004233602005600307
23,120,-0.051323116609516245,1.029419358773157,1.5444137522640327,1.3772550864090833,1.6945952227688394,-0.5811213538671534,-0.6444178556969079,-0.4959456508106087,0.0077788352908100935,0.004334702957518554,0.010835340060633216,0.034914682382562505,0.030439807535149157,0.03945556084091852,-0.0006309239484835416,-0.0014498979845666326,0.0009576260408599991,-0.0032570206637804705,-0.007481732430363384,0.00060643422921809,0.0270091854094062,0.02324004976990788,0.03187328233543667,0.00031220190576277675,-0.005329217566759325,0.010365210164939812
24,120,-0.034875258632625146,0.165409060731569,0.01696644144152136,0.012991387978133087,0.02114789239812429,0.1262717034551315,0.11362803215073655,0.13975509754149243,-0.029987854487262666,-0.03510238643958777,-0.02526179393801916,0.07007329900128147,0.05554695983087489,0.08123046152487706,-0.03549902873346582,-0.0424427281608223,-0.030399784495918236,0.007484022312564775,0.005730062000899731,0.009282125150202773,0.004288813821040094,0.0030742124213914697,0.005189531962193238,0.005811663920758292,0.0038798532326957988,0.007744226955983321
25,120,-0.14892371554548542,0.0680437393777538,0.003980219077008466,0.003332889937591972,0.0045483516810539484,0.010703099742143726,0.008505424718217303,0.013194373376609291,0.011968037142651156,0.007883240927961499,0.01635357505821351,-0.0028953405456074205,-0.004190329257326084,-0.001975980713129199,-0.0008798539405688643,-0.004982641785269758,0.004526660144911147,-0.004439453746696623,-0.005572343216845184,-0.003186701633530903,0.060148057892608145,0.05228248985930501,0.06831877655679515,-0.010541026243784776,-0.01667226445880563,-0.0031778068064401603
