layer,n_pairs,mean_delta_mlp,mean_delta_attn_total,mean_delta_head_0,head_0_ci_low,head_0_ci_high,mean_delta_head_1,head_1_ci_low,head_1_ci_high,mean_delta_head_2,head_2_ci_low,head_2_ci_high,mean_delta_head_3,head_3_ci_low,head_3_ci_high,mean_delta_head_4,head_4_ci_low,head_4_ci_high,mean_delta_head_5,head_5_ci_low,head_5_ci_high,mean_delta_head_6,head_6_ci_low,head_6_ci_high,mean_delta_head_7,head_7_ci_low,head_7_ci_high,mean_delta_head_8,head_8_ci_low,head_8_ci_high,mean_delta_head_9,head_9_ci_low,head_9_ci_high,mean_delta_head_10,head_10_ci_low,head_10_ci_high,mean_delta_head_11,head_11_ci_low,head_11_ci_high,mean_delta_head_12,head_12_ci_low,head_12_ci_high,mean_delta_head_13,head_13_ci_low,head_13_ci_high,mean_delta_head_14,head_14_ci_low,head_14_ci_high,mean_delta_head_15,head_15_ci_low,head_15_ci_high,mean_delta_head_16,head_16_ci_low,head_16_ci_high,mean_delta_head_17,head_17_ci_low,head_17_ci_high,mean_delta_head_18,head_18_ci_low,head_18_ci_high,mean_delta_head_19,head_19_ci_low,head_19_ci_high,mean_delta_head_20,head_20_ci_low,head_20_ci_high,mean_delta_head_21,head_21_ci_low,head_21_ci_high,mean_delta_head_22,head_22_ci_low,head_22_ci_high,mean_delta_head_23,head_23_ci_low,head_23_ci_high,mean_delta_head_24,head_24_ci_low,head_24_ci_high,mean_delta_head_25,head_25_ci_low,head_25_ci_high,mean_delta_head_26,head_26_ci_low,head_26_ci_high,mean_delta_head_27,head_27_ci_low,head_27_ci_high,mean_delta_head_28,head_28_ci_low,head_28_ci_high,mean_delta_head_29,head_29_ci_low,head_29_ci_high,mean_delta_head_30,head_30_ci_low,head_30_ci_high,mean_delta_head_31,head_31_ci_low,head_31_ci_high
0,120,-0.0016773798735812307,0.0007982537126129803,-1.5949654819754263e-05,-0.00041135681480227506,0.00033684709342196595,6.796138865562776e-05,-0.0001767776799291217,0.0002785461359114076,0.0004215196745159725,0.00023216578139302632,0.000662493642012123,-0.00020768016499156754,-0.00045380485292601707,3.519863385008649e-05,0.00011485192383891748,-4.399301626714684e-05,0.00025911233485203416,-6.387346220435575e-05,-0.000179983510273208,6.325545779570048e-05,0.00013074457068190288,7.955280780151954e-06,0.0002588793042559701,-1.5709362924098968e-05,-0.00033329053095561295,0.0002905226789516746,0.00022502965681875747,2.9396716139065876e-05,0.00042501015079324136,0.00013303343633500238,2.4673294683452716e-06,0.0002610055977129378,0.00024254796444438397,7.211247337788033e-05,0.0004051878373138608,-0.00022861796508853635,-0.0003762915193995772,-8.473671089935426e-05,9.223916955913107e-05,-6.466581718996166e-05,0.00024214523989940062,2.2014059747258823e-05,-0.0001301769004203379,0.00014706059300806373,-7.934837194625288e-05,-0.0002127916764159939,6.903540763839073e-05,0.000122440259049957,3.269490936266569e-05,0.00020591832993280458,-7.39738970878534e-05,-0.00014857907649760212,2.8470115260764376e-05,9.492243940864379e-05,-5.6881337259255814e-05,0.0002448118101650229,8.281284438756605e-06,-5.383263065596111e-05,7.908420501432071e-05,-0.0003175563634916519,-0.0004757319617541119,-0.00018498868824584248,-9.542892366880551e-05,-0.00019947182981316778,2.1896658448288997e-05,-7.134675494550417e-06,-0.00010037008560175309,9.825933746469686e-05,6.236888778706391e-05,-4.922748771302092e-05,0.00019010620577319064,-1.3748698377942976e-05,-0.00010043468842316844,8.17019972146227e-05,0.00019238369714003056,2.088143951065528e-05,0.00042569270806173644,-3.263679100200534e-05,-0.00031028182301573296,0.0002027762418098671,-8.586920691110815e-05,-0.00025481168881621367,5.80477340554354e-05,0.00022995842155069113,-0.00027053500302523997,0.0007189408342189083,4.647508588580725e-05,-5.347633674925115e-05,0.000132671812280023,-0.00019630178309550198,-0.00047193324404361193,8.813082658889471e-05,-4.7292059753090145e-05,-0.00018521715479437263,5.580523606719604e-05,7.260317361215129e-05,-1.382805812075579e-05,0.0001680102065074607
1,120,0.0003006076867071291,0.00017016626940555095,-0.00016954937564150896,-0.00029593217876026755,-2.000132855755509e-05,0.00025849782638639833,-6.400220469610449e-06,0.0004412247715784664,0.00019269775754461685,5.096811405868115e-05,0.0003522642754251138,0.00010176887541698912,-0.0006838097784202545,0.0008735862304941595,-0.0025294409084987515,-0.004186565476872298,-0.0009130391897391138,-6.710007534517596e-05,-0.00027514702858752574,0.00016192217721254572,-0.00021142023712551842,-0.00037589103031981117,-8.796134413084168e-05,-0.0002754945589307075,-0.0005360151095616553,-8.698725796421016e-06,-0.00042595825216267257,-0.0006698773881847349,-0.00018608837364202674,0.0005685979481010388,3.658880377770406e-06,0.0012107130512595179,0.00010603998380247504,-0.00036992491339333356,0.0005738932196982205,0.0015545517924086501,0.0006943129226177309,0.0025590706018313843,-0.00024536207977992794,-0.0008976708868673692,0.0003551730414134607,0.00032032790574400375,2.671758402357228e-05,0.0006056191138607877,0.00032141868869075554,2.5967393133517667e-05,0.000539250371111848,0.00020118266887341935,-0.0007943940788391046,0.0010749934836348984,-5.8278052407937744e-05,-0.0003712300455784619,0.00030469389223677993,-6.049815953398744e-05,-0.0005150884279767827,0.00038184153080995546,-0.0007298390293726698,-0.0011063604480295909,-0.0002939474488569732,-0.00015191646525636315,-0.0003838742913406653,9.495800167011723e-05,0.00038086933151741203,0.00018062813531287249,0.0006053362029463945,0.00022817372640323205,-7.088061782269506e-05,0.0005567178732599134,0.0003934101143386215,4.544868429851098e-05,0.0007394345320547776,-0.0003955844324082136,-0.001041324156152162,0.0004875832237788321,0.00014284910988256647,-0.00026756128476336017,0.0004933218034724027,0.00014048539063272377,-0.0003341714420093922,0.0005586655199052379,0.0006660956869988392,6.074503905741343e-05,0.0012909814053515827,4.787727909085031e-05,-0.0003293013339619695,0.0003864921818725028,-0.0002683415635450122,-0.000510852645165869,-3.8995713560628555e-05,-7.744973117951304e-06,-0.00047019212343002437,0.00036912149428341463,1.8711512287457783e-05,-0.00015508505664911352,0.0001596517484237363,0.00012313883441189926,-2.7747281322566165e-05,0.0003055211413447978
2,120,-0.0009537864321221908,0.008636726715970629,-1.3542594388127326e-07,-0.0004178836732777806,0.0003732833184161185,0.000395917357915702,-0.0002058479840585884,0.0009339794188175195,0.00019334135176904966,-0.00015563485019204866,0.0005108105862927914,0.003729747528753554,0.0023151637996488717,0.005013465324688393,5.701034921609486e-05,-0.00038187471680430464,0.00042407420038216516,-3.663441263294468e-05,-0.00021273891921737233,0.00013848621463694144,0.00011052007345521511,-0.000229971859134821,0.00040757903367799977,0.0005887100705876946,-0.00019945483814808536,0.001351315264182631,-0.0005831739380179594,-0.0013384387717330051,0.0001475040745572188,-3.644715179689229e-05,-0.0007717194080760236,0.0006700746108253956,0.0001014525104740945,-0.0002610151686167228,0.00042835269763600095,-0.00010410948695304493,-0.0007449535361471741,0.0005222330559627156,0.0014606180739065167,0.0007071444335451816,0.002156504999020399,-4.822302047008028e-05,-0.0004185524488275405,0.0002962021835022218,-0.0009329930040015218,-0.0013717940529871459,-0.0005565130532947174,0.0003311737886785219,-0.00011184127967377813,0.0006956687447867203,0.00044195856704997517,-2.5137180782621722e-05,0.0008025330154972231,-0.00027344664364742735,-0.000630549804433637,5.0960734176139046e-05,7.439775314802925e-05,-0.00034004428214151025,0.0004109784193982099,0.0006401712238584878,0.0001914873478987526,0.0010343371894911495,5.0609829486347735e-05,-0.00024143127309798727,0.00032549889925576297,4.437115154966402e-05,-0.0002640705911471741,0.0003783854080453848,0.00012708800204563886,-0.0002785461905295961,0.000490814461033248,-0.00017519606626592577,-0.0005538257232789571,0.00016617152062584257,-8.968024728043626e-06,-0.0003663611576121184,0.00023520653706024557,0.0008495962242401826,0.00047724559123404713,0.001270268156695238,0.000774567519450405,0.0004574767101197116,0.001129402683339625,-0.00012729846639558673,-0.0006345441830732549,0.00030272670099899807,2.817443407063062e-05,-0.00019448183786153095,0.00026281440616003247,0.0002901520172599703,-3.5932205185720995e-05,0.0007198967049528924,0.00047239004731333505,0.0001165824046135337,0.0008187309205944377,0.00020138448259482782,-0.00013164796022465455,0.0005217166281848529
3,120,-0.0034231800120323895,0.01296306369137407,-6.969754952782145e-05,-0.0002748506140051177,0.00010515005245300327,-0.00048202001101647814,-0.000920722655961678,-2.0242664419735054e-05,0.0007338205294217914,9.976518088175606e-05,0.0014385069042812879,0.0005132001329911873,0.00013173708614582817,0.000898580048766841,0.00037312947776323803,4.8379160604478486e-05,0.0007185857242438946,0.00026124349193802724,1.569239951398535e-05,0.0005738447787977446,0.0003188005085879316,0.00014401203237260539,0.0005107697662363838,-0.0007296021857958597,-0.0009790210591139232,-0.00047307582770978704,0.0004980353609425947,0.00018123133083766636,0.0008517245862215835,-0.0007063578135178735,-0.0012077747208725973,-0.0002806354917508234,-0.00048417029611300675,-0.0010941918227763382,0.0001297094475739871,0.009832490790480127,0.005672069188537232,0.013308181166648867,-5.592999514192343e-05,-0.00019682581080511833,0.00010941235724506746,0.00011245686012747076,-4.290146322697788e-05,0.0002962936198552296,-7.723310724638092e-05,-0.00017414289686712436,5.0249305774438355e-05,5.5068836081773044e-05,-9.082873750836976e-05,0.00019735515665767405,0.0005054736403205122,9.179620666448803e-05,0.000883252274434199,-0.00011420636825884381,-0.00048268161973586153,0.0002262807887988554,0.00016424751956947147,-0.00019241796876788914,0.0005778090618575032,0.0001448690488662881,-0.0002228494719141357,0.0005459753730368297,0.0002845562761649489,-0.000633839256867456,0.0010387649033994726,-0.000257650994656918,-0.0007314060250791954,0.00021047283145890115,0.00030948175117373466,-1.3048907373255731e-05,0.0006738502876153993,0.0003062653423209364,-5.607338350576658e-05,0.0006634602941145812,-0.0003385580256387281,-0.0006112954993659513,-3.550309533845082e-05,-0.001200352869151781,-0.002020799431823737,-0.00044640136155067007,3.9298602496273814e-05,-0.0005046847989675976,0.000550761461684791,0.001894873462151736,0.000318443560487746,0.00326339919284995,-0.00034053142298944293,-0.0007334865034984735,9.908077093617545e-06,0.0008170384506229311,0.00010637292551109568,0.0015992803338546462,0.0001840566134584757,-1.1642551059291378e-05,0.0003628650306806473,0.00047096763494967794,0.00020175423904826554,0.0007695758900808869
4,120,-0.012432703049853444,0.006832468397381793,-0.00011173731885113132,-0.0004562595808177624,0.0001697492426380148,0.0016185202138634244,0.0007955924189263897,0.0024009967172120626,0.0005235138485052933,0.00012359354169651246,0.0008860912448532571,0.0017991149409984548,0.0009411781698387738,0.002737386181567369,-0.00019459361161959046,-0.0006938102258936852,0.00036044355592215066,-0.0010642228454040984,-0.0018034227602765894,-0.00039549817884108033,0.0007977689131318281,0.0003141970023959099,0.0014337443913245808,5.954104514482121e-05,-0.00022762865752156357,0.0003419763073785968,-0.00033676455883930125,-0.0007895826350068091,2.232742597698236e-05,0.0002627220538367207,-2.2092466654915662e-05,0.0005579082521338327,-0.00016927526254827778,-0.0019797328393906357,0.0013826379103314445,-0.00032738009613240136,-0.000648905739581096,4.792954157892386e-05,-3.0759301929113765e-05,-0.0005237529438454657,0.0005094327336701099,-0.00013874201686121524,-0.0013203320460646259,0.0010706453450256962,0.0004181090533772173,6.443109358466852e-05,0.0007755829132778069,0.00010318382701370865,-0.00026786861965471566,0.0005622368443922219,0.0014925989225351563,0.0003191574617327812,0.002820478785482313,0.00048294809724514686,-0.00014020219173592824,0.0011446517193689943,0.0008258528968629737,4.718604080456619e-05,0.001788030348252505,-0.0004982562968507409,-0.0015971026414384444,0.0005549162961445594,0.00012197143078083173,-0.00021480278119270224,0.0005118729321839055,0.0023966242491345233,0.0007074820031508958,0.004062222208570651,0.002000826523484041,0.0010702042545744916,0.0028828960194126315,-0.0007973475857094551,-0.0013053203399613267,-0.00030103360285769034,1.688602496869862e-05,-0.0001858251977319014,0.00026694684638641777,-9.783542967246224e-05,-0.0005422810893651331,0.00036391522968187945,-0.00032919140794547276,-0.0005478835630977604,-7.751218130579218e-05,-0.00011722417330020107,-0.00034311251708762333,0.00013816857657123673,-0.0009399987291544675,-0.0018839058070928636,0.000142093253040609,-0.00040069838093283275,-0.001297877569498572,0.00027017604836146355,-0.0004041595171050479,-0.000979907344202123,0.0001489331942866558,-0.00012952711064523708,-0.0009160639943972152,0.0006143804302943567
5,120,0.011755164231484134,0.007854190645351386,-0.0025552849556940297,-0.0035898941299334786,-0.0015454202224888527,-0.00012854978170556325,-0.0007651921204524114,0.0004653005611908158,0.0008023045472024629,-0.0012166937507572585,0.0026557906352779057,0.00024240385779800516,-0.00047587032779119906,0.0009679312272540605,2.282518350208799e-06,-0.00031310002799727954,0.0002781070282799192,0.0027578949346207084,0.001871064238269658,0.003663757893834069,0.0004602689635551845,-0.00010599923853684837,0.000979606057832522,-3.141862495491902e-05,-0.0006359513429924845,0.0006032758535972488,-0.0003337692954422285,-0.0009326226415578276,0.00016244979919671743,0.00013756203503968815,-0.0005859945245659521,0.0007824126293659599,0.0003667830217940112,-0.0003978668090955277,0.001054275187246579,0.0005599926007562317,6.087733766131957e-05,0.0010176215228905978,2.0203448366373776e-05,-0.0003830581285486308,0.0004001023665477989,-0.0003363946976605803,-0.0007380394986345588,7.204852653861363e-05,-0.0008839227783028036,-0.0013482066691115808,-0.0005399318062215267,0.0005112112625890101,-2.145937682750322e-05,0.0009487382554652872,0.00015757997268034767,-0.0002486745271744439,0.00048213528777220447,0.001358412023788939,0.0006809142882896898,0.0021874339487597655,0.0012503314656593526,0.0004122378455698102,0.0020342690895389145,-0.0003815863941175242,-0.0006554098142320678,-8.983172342899085e-05,0.0010440011547567943,-0.00034484598155055815,0.002951947789018353,0.002076795503186683,0.0006902799961001923,0.0033438848579923314,0.0020108057574058573,0.0013971831473463682,0.002723393035315288,-0.00025021534820552916,-0.0007649928957107477,0.00033919121027186825,0.00028711565440365426,-0.00011781192920655788,0.0006812885324325183,0.0003841834749133947,-0.0001419176334578272,0.0008835583280597349,-0.0004244315564089144,-0.001013698006887959,5.912015865760646e-05,0.00015966796102778364,-0.0003549350104488743,0.0006685177855251823,-0.001322870849010845,-0.001837543256721498,-0.0007945062015884711,0.001128283646539785,-0.0007983140378443447,0.0030380535603762838,-0.0011969225131906569,-0.002469664783857297,0.0001606612619555867,-1.8526364389496545e-05,-0.0015939158286103821,0.0013767134371785999
6,120,-0.006146361756448945,0.0030717591895760656,0.0034124479105230423,0.002004977820373218,0.004837281277577859,0.006081301429852222,0.0050181056884563684,0.007600248697175024,-0.0018944580195238813,-0.002636215866708274,-0.0010149511886993422,0.0007916294309931497,-0.0009330788789278207,0.0026439491211203863,0.001186688042556246,0.0005818547930296821,0.0018279013016338772,-0.002678065161065509,-0.003889970816283797,-0.0016693558429445446,0.00046231277810875325,-0.0002204654375721778,0.0011708038152573863,-0.0005050369538366795,-0.0014619142088243583,0.00039375028606931066,-0.0007538051325051735,-0.001574369634327013,-1.1732956190825963e-05,-0.0001032277369328464,-0.0012777209164050874,0.0007971002860479833,-0.004152321642807996,-0.00508298926758774,-0.003344339589809048,0.0003648586959267656,-0.00039849118581817796,0.0010635886927047983,-0.0012129058940142082,-0.0019805217249449923,-0.0006315917248745487,-0.0005510248360224068,-0.0012997347183894212,0.00010962260217638698,0.0004958441869045298,-0.00023819256840700587,0.0013015582015699094,0.0021143672114703805,0.001447346314113626,0.002825430562831268,0.0011308031195464234,0.00028644972813102263,0.0019430677287406676,0.0007884494727477432,-0.0004655882628867402,0.0017309593217214574,-0.0021297620395974567,-0.003721183738768256,-0.0005353467952712278,0.000168659002520144,-0.00048017532496790713,0.0009507803165858303,0.002000726720628639,0.0007794263951169948,0.003065049762565953,0.0015218018078788495,0.0006366247377930752,0.0022156421092707507,-0.0014384211167149867,-0.0019332582058996194,-0.0009601316789727809,-0.00034608389250934124,-0.0011811157556561134,0.00047480828051144877,-0.00148501603010421,-0.0021224351131240837,-0.0008355426209891448,-0.0012115127533130969,-0.0018050099496273713,-0.0005898941006307723,-0.003207470119620363,-0.004439652626169846,-0.0020358258197666146,0.0010826394543983042,0.00032053623154448965,0.001710413708594085,-0.0025477166539834193,-0.003196064375127511,-0.0016552869150958335,0.004164619410100083,0.003228365211301328,0.005206107633372692,-0.0006197034400732567,-0.0011277157468915296,-0.0001601188571900517,0.002141141938045621,0.001291024254654379,0.003286529280788576
7,120,-0.009818314279740056,-0.00013893521560627656,0.00019323438755236566,4.048638065190365e-05,0.00035317424854535296,-0.0011295304235924657,-0.0014486220069860184,-0.0007602572866016999,-0.0006783622511041661,-0.002269561710127164,0.0010241529004027445,-0.0018170050461776555,-0.0028010869125622167,-0.0006915295035772334,-3.699938630840431e-05,-0.00013252055970951914,8.410005020171714e-05,-3.041599993593991e-05,-0.00015221123879503767,9.540110874998697e-05,7.43853612220846e-05,-8.0264746126583e-05,0.00020987996776966614,-0.000365035423116448,-0.0005134235978524278,-0.00019859442227849891,-0.0005692492588423193,-0.001557580439839512,0.0004013015489908869,-0.0014337292484318217,-0.0038699958390013005,0.0010339459165697926,-0.000906523239488403,-0.002992104263588165,0.0010644379056369267,0.0036983765273665386,0.0022411820113969346,0.005089210927253589,0.00023463299924818178,-0.0002967473692842759,0.0007943000711384233,0.00035676851257449016,5.1509638360585086e-05,0.0006233403945346557,-1.729220481744657e-05,-0.00029159491539758163,0.00028527096311639405,0.00036386425296465555,-0.002280881944655751,0.002863684487917152,1.0961625715329622e-05,-9.746664774259747e-05,0.0001252281314918946,0.00010345385332281391,1.574102784312951e-05,0.0001689585812467461,-0.000169907650949123,-0.0006055176226072945,0.0003502172745841866,0.00015680728271642388,7.105656680020427e-05,0.0002462337086217303,0.0005612106828872736,0.00017309339617592437,0.0009539818726140462,-0.00017169243656098843,-0.0006988975618393549,0.0004939720469216507,0.00014921265101293103,6.648499194852775e-05,0.00024978171601105717,0.00010604514779212574,8.42436517511184e-07,0.00019332503764114034,0.0003887676750309765,-0.00020273771292219557,0.0010786932541426116,1.3799173757433891e-05,-9.025276898076603e-05,0.00011536438202407833,0.0011770757477885733,3.776715796751629e-07,0.002301998641002381,-8.564748083396504e-05,-0.0003033307905085773,0.00011407539226638621,5.9999407919046156e-05,-0.00016464841552685054,0.00024847233026472775,0.0022523457223239045,0.0017461513716261834,0.002731866220007457,-0.0029579249676316977,-0.003714285406798202,-0.0021461849656770936,0.0003294387909894188,-0.00033836198126664386,0.0010056454011161504
8,120,-0.009644936071708798,-0.0008593834420025815,0.0002308000228367746,-0.0005003851333943506,0.0009026163231465034,-0.00031307802031127117,-0.0010533929263571431,0.000384682680887636,-0.0002662310895781654,-0.0005971335317129464,5.719516884710188e-06,0.003122669361376514,0.001046423646621406,0.005057774958841037,-0.0005944202886894346,-0.0014492228854214772,0.0002286817081039773,0.001226774463430047,0.0005211813755643866,0.0019478212809190155,0.0006707355612888932,-0.0018271117996967708,0.0030404690309660514,-0.0012323766015470028,-0.0023518419112466896,-7.47747598992032e-05,0.0008322723054637512,-0.00036411097001594795,0.001954543477428767,-0.00010387420673699429,-0.0003094733757704186,0.00011723812536123056,0.0004304500122088939,0.00025483741400724586,0.0006494611427478958,-0.0016540998835504676,-0.002456581921966669,-0.0008135944498402143,0.0001837836862250697,-1.8595948064709465e-05,0.0003920822308828065,-0.00034409172755355634,-0.0007804381612610693,9.541829504693591e-05,-0.00010611426696414128,-0.00024107259495697992,6.610326180331568e-05,0.0004041415173560381,4.5297889494880424e-05,0.0007586276036939429,-5.3614251858865224e-05,-0.0001602979583549313,4.7040542704053264e-05,-0.00023559120406086247,-0.0004372406053274366,-3.667619948828358e-05,0.0003296881511535806,0.00015249224086195075,0.0005085575998600689,-0.00013219190974875044,-0.0003771713991833773,0.00016643247879983392,-4.7627373229867466e-05,-0.00025509138771061165,0.00010164432895786985,0.0002879375320238372,-8.095611497992649e-05,0.0006293016349081882,-0.00027978364766264956,-0.00039089760551481355,-0.00017633890788905165,0.0002619621305105587,4.0970024225922926e-05,0.0004431874496610059,0.0006570106381938482,-0.0008471590691381909,0.0022721374022997543,-0.0033202572725713254,-0.005089290887796476,-0.0014115229906747114,-0.0007605016891223689,-0.0015265512837019438,0.00018524085166670077,0.0004731352014156679,-8.892492924739295e-05,0.0010107188959470174,-0.0007830539427231998,-0.0013531700072538417,-6.70466214069159e-05,-0.0005692522478057072,-0.001030685860532685,4.522683178947775e-05,0.0010819982164927448,0.00031650685523345603,0.0018811856615987685,-0.00025658261826417097,-0.0005300772221865676,8.708808888817058e-05
9,120,-0.023911352486660084,-0.003039598377896861,6.940775201655925e-05,-0.00034724697533723275,0.0005557732841892481,-0.0007298178932008644,-0.0014307858401055758,-2.3678059806115748e-05,0.00021690495001773039,-0.0012822987492351482,0.0021738316142000265,-0.0013482149573974312,-0.0021544503717450423,-0.0006119427533121776,-0.0016321317564385633,-0.0022753519481436037,-0.0010189063195139168,-6.116359145380557e-07,-0.00013598919430175252,0.00012732279799820392,-5.5835666717030105e-05,-0.00018609180064231624,9.911270386510296e-05,-0.00040639689250383527,-0.0005475356242459384,-0.0002587757418586988,0.00024226197419920936,0.00017418670075736978,0.00030334441589729977,1.873168657766655e-05,-7.433928750591198e-05,0.00013176019850410134,-6.900965017848648e-05,-0.0001149908637307817,-2.674434096358405e-05,-1.8110226180093983e-05,-9.77153763960814e-05,7.43653786291058e-05,0.001110184472054243,-0.006553156492688382,0.0064711534949795655,0.0013558072202916568,-0.00031149320469315477,0.003094476716238812,0.0003040398315836986,-0.0004297614614915801,0.0011369367151201006,-0.003476697951555252,-0.0051121914509955485,-0.0017886201991738437,0.0005232723953668029,0.0002026210859185085,0.0008531948250310963,-0.0003071870761535441,-0.0006145626106202447,1.2196165795709731e-05,-0.0007578815702193727,-0.0011006922447510685,-0.00047081596824379327,0.00013587121502496303,-1.5212779447513942e-05,0.00029492106477846397,0.0010294767989156147,0.00034400678021484054,0.0016593412461710008,-0.000495257368311286,-0.0035707750109334785,0.0021043756142413877,-7.047466448663423e-05,-0.0009573078011453618,0.0007122141082072633,0.0002867501927539706,-0.0009356208846050624,0.0014027849683770912,-1.6286969184875488e-05,-0.00013915195350515811,0.00012692525951327603,0.0001200487487949431,-9.884307679991857e-05,0.0003180654564979098,8.795032626949251e-05,1.3406287180259824e-05,0.00016544224466391217,0.0005697864233904208,-0.00024235632920560114,0.0012869981529850824,6.102041418974598e-05,-3.332003491474704e-05,0.00015969917312759211,0.0001067867012655673,-9.308743507669228e-06,0.00024243255013061573,1.3560736260842531e-05,-3.3085511871225506e-05,6.86656136288851e-05,9.245406157181909e-05,4.753146978449271e-05,0.00014198672456283625
10,120,0.0875183703067402,-0.017708775128994603,8.374279908215006e-05,-0.00019006510109951098,0.0005082272184275403,0.0008549588072734575,0.00040037245004593083,0.0013476776777921868,0.0006368202118513485,-0.0005956838572941099,0.001941743457864505,-2.4350204815467197e-07,-0.0005157620297783675,0.00043099961767438803,-0.00011045622328917185,-0.00297314862778876,0.003240101013798267,0.0007934756809845567,-0.0003175259525111565,0.001816827275324613,-0.0022218625255239505,-0.006220898835551149,0.0016366259430651558,0.002025468651360522,0.0012873046184055663,0.002830128877540119,-0.00022499060335879524,-0.000461038735229522,4.5416501816362166e-05,-0.004233714627722899,-0.007037341586546972,-0.000662832580079943,-0.0017329538241028786,-0.004436064911618208,0.00034432605199981515,0.011572997132316232,0.006950210760502766,0.015484607085042323,-0.0008699530619196594,-0.0013240717850082245,-0.0003383265990608682,0.0006558590296966335,0.00010062542001833208,0.001202769853019466,0.0009335350012406706,0.0001940954220966281,0.0017394247959115698,0.001104980567470193,0.0006584067689739943,0.0014935586885743155,-0.00044207304890733214,-0.0009818899045543124,3.4699293998225295e-05,0.000848105576975892,-0.0026229425802982097,0.0032700574014840338,-0.00011897279085436215,-0.0006171378423459827,0.0004300330371916063,0.0010360686962182324,-0.001274973267184881,0.003679751621287627,0.006082361936569214,0.0041326076956465846,0.008237476246625497,-0.015134438732638955,-0.0237248088628985,-0.006225825216776381,-0.016159174436082443,-0.02383487696099716,-0.00841647907005002,0.004048524145521999,0.003042494074519103,0.005006422150169481,-0.00021537986855643492,-0.0010558114825107623,0.0006634328383370303,-0.003180785515966515,-0.004509978744123752,-0.0014558218111051244,0.00038978780309359233,-7.877309981267898e-05,0.0008866989391390235,-0.0005143745278473943,-0.000839827550080372,-0.0002473686048566984,-0.0006970233439157407,-0.00271511338922816,0.0013165082021926856,0.0013069029936256507,0.0004605728930134016,0.0022218256467022002,7.219814773028096e-05,-0.00019833003786819367,0.0002935518050799147,-0.004298165677270541,-0.00670425080053974,-0.0007375088710493095
